"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2025","104.961","107.944","107.944","104.961","","-1.19%"
"01/01/2025","106.230","105.763","108.300","9.785","","0.28%"
"12/01/2024","105.932","104.196","106.397","104.177","","0.94%"
"11/01/2024","104.950","101.950","111.375","101.100","","2.94%"
"10/01/2024","101.950","99.200","102.475","98.994","","2.77%"
"09/01/2024","99.200","99.666","100.500","98.506","","-1.02%"
"08/01/2024","100.225","102.375","102.550","98.376","","-2.10%"
"07/01/2024","102.375","102.864","103.325","100.818","","-0.48%"
"06/01/2024","102.864","101.557","103.450","101.042","","0.80%"
"05/01/2024","102.050","103.550","111.225","101.202","","-1.45%"
"04/01/2024","103.550","102.083","103.950","100.250","","1.44%"
"03/01/2024","102.083","102.300","102.450","100.717","","-0.21%"
"02/01/2024","102.300","101.975","103.300","101.333","","0.32%"
"01/01/2024","101.975","99.738","102.500","99.738","","2.24%"
"12/01/2023","99.738","101.020","103.375","99.141","","-1.27%"
"11/01/2023","101.020","104.850","104.950","100.184","","-3.65%"
"10/01/2023","104.850","104.156","105.650","103.196","","0.14%"
"09/01/2023","104.700","101.418","105.350","101.418","","3.24%"
"08/01/2023","101.418","100.650","102.250","99.987","","0.76%"
"07/01/2023","100.650","100.948","101.875","97.974","","-0.72%"
"06/01/2023","101.375","104.000","105.050","100.195","","-2.52%"
"05/01/2023","104.000","100.475","104.000","99.547","","3.51%"
"04/01/2023","100.475","101.570","102.350","99.293","","-1.08%"
"03/01/2023","101.570","104.450","104.875","101.236","","-2.76%"
"02/01/2023","104.450","101.875","104.875","100.119","","2.53%"
"01/01/2023","101.875","103.300","105.250","100.982","","-1.38%"
"12/01/2022","103.300","107.410","107.410","103.292","","-3.83%"
"11/01/2022","107.410","116.875","116.875","105.373","","-8.10%"
"10/01/2022","116.875","113.000","116.875","109.407","","3.43%"
"09/01/2022","113.000","110.100","115.382","11.000","","2.63%"
"08/01/2022","110.100","104.350","111.116","104.350","","5.51%"
"07/01/2022","104.350","105.994","110.096","104.350","","-1.55%"
"06/01/2022","105.994","103.230","106.225","102.472","","2.68%"
"05/01/2022","103.230","104.750","106.650","99.950","","-1.45%"
"04/01/2022","104.750","99.950","845.125","99.631","","4.80%"
"03/01/2022","99.950","98.600","101.675","98.600","","1.37%"
"02/01/2022","98.600","98.875","99.300","96.092","","-0.28%"
"01/01/2022","98.875","97.250","99.300","95.875","","1.67%"
"12/01/2021","97.250","98.200","98.375","97.187","","-0.97%"
"11/01/2021","98.200","94.700","98.875","94.700","","3.70%"
"10/01/2021","94.700","95.450","95.875","94.372","","-0.79%"
"09/01/2021","95.450","93.107","95.450","2.000","","2.52%"
"08/01/2021","93.107","92.643","94.850","92.643","","0.50%"
"07/01/2021","92.643","93.350","94.250","92.643","","-0.76%"
"06/01/2021","93.350","90.462","95.875","90.158","","3.19%"
"05/01/2021","90.462","91.735","92.340","89.984","","-1.62%"
"04/01/2021","91.950","92.920","93.500","90.817","","-2.49%"
"03/01/2021","94.300","91.050","94.375","20.450","","3.57%"
"02/01/2021","91.050","91.125","92.475","90.134","","-0.08%"
"01/01/2021","91.125","90.550","91.500","89.310","","0.64%"
"12/01/2020","90.550","92.250","92.276","89.598","","-1.84%"
"11/01/2020","92.250","94.650","95.050","91.999","","-2.54%"
"10/01/2020","94.650","94.600","94.675","92.960","","0.05%"
"09/01/2020","94.600","92.423","95.250","91.950","","2.36%"
"08/01/2020","92.423","93.850","94.370","92.292","","-1.52%"
"07/01/2020","93.850","98.650","100.350","92.937","","-4.87%"
"06/01/2020","98.650","99.500","99.500","96.835","","-0.85%"
"05/01/2020","99.500","101.150","102.650","99.019","","-1.63%"
"04/01/2020","101.150","100.650","102.600","99.948","","0.50%"
"03/01/2020","100.650","100.900","103.550","96.470","","-0.25%"
"02/01/2020","100.900","100.150","102.520","99.485","","0.72%"
"01/01/2020","100.175","98.650","100.650","98.292","","1.55%"
"12/01/2019","98.650","100.076","100.550","98.184","","-2.35%"
"11/01/2019","101.025","99.425","101.025","98.737","","1.61%"
"10/01/2019","99.425","101.170","101.520","98.770","","-1.72%"
"09/01/2019","101.170","100.650","101.375","99.052","","0.89%"
"08/01/2019","100.281","99.002","100.375","98.094","","1.29%"
"07/01/2019","99.002","97.350","99.600","97.073","","1.70%"
