"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","54.4388","54.5800","54.6300","53.3600","","-0.17%"
"03/01/2026","54.5300","47.9200","54.8550","47.8200","","13.72%"
"02/01/2026","47.9500","46.9300","48.1750","46.6400","","2.17%"
"01/01/2026","46.9300","47.7000","47.7500","46.8300","","-1.61%"
"12/01/2025","47.7000","47.5800","47.8180","47.3300","","0.25%"
"11/01/2025","47.5800","47.2400","47.9400","46.9700","","0.72%"
"10/01/2025","47.2400","47.8500","48.2300","47.1400","","-1.27%"
"09/01/2025","47.8500","48.5800","48.6750","47.7900","","-1.50%"
"08/01/2025","48.5800","48.6300","48.8600","48.2200","","0.02%"
"07/01/2025","48.5700","49.5900","49.8600","48.5700","","-2.08%"
"06/01/2025","49.6000","49.7200","50.9750","49.4150","","-0.24%"
"05/01/2025","49.7200","50.7900","50.8550","49.6850","","-2.18%"
"04/01/2025","50.8300","50.5700","51.7250","50.5400","","0.51%"
"03/01/2025","50.5700","50.6500","50.7700","50.4288","","-0.16%"
"02/01/2025","50.6500","50.2300","50.7988","50.1850","","0.84%"
"01/01/2025","50.2300","50.8400","50.8850","50.1450","","-1.10%"
"12/01/2024","50.7900","49.5900","51.1750","49.5500","","2.52%"
"11/01/2024","49.5400","48.9300","49.9800","48.8300","","1.31%"
"10/01/2024","48.9000","48.2800","49.0000","48.1912","","1.39%"
"09/01/2024","48.2300","48.6200","48.7675","48.2363","","-0.70%"
"08/01/2024","48.5700","48.5600","49.5713","48.5500","","0.12%"
"07/01/2024","48.5100","48.0300","48.6750","47.8250","","1.10%"
"06/01/2024","47.9800","47.2700","48.8400","47.0500","","1.61%"
"05/01/2024","47.2200","47.8500","48.1500","46.5200","","-1.21%"
"04/01/2024","47.8000","47.2300","48.8800","47.0600","","1.27%"
"03/01/2024","47.2000","30.9000","50.8000","30.8000","","53.00%"
"02/01/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"01/01/2024","30.8500","30.9000","30.9499","30.8000","","0.00%"
"12/01/2023","30.8500","30.9000","30.9499","30.8000","","0.00%"
"11/01/2023","30.8500","30.9499","30.9499","30.8000","","-0.16%"
"10/01/2023","30.9000","30.9000","30.9499","30.8000","","0.16%"
"09/01/2023","30.8500","30.9000","30.9499","30.8000","","0.00%"
"08/01/2023","30.8500","30.9000","30.9499","30.8000","","0.00%"
"07/01/2023","30.8500","30.9000","30.9499","30.8000","","0.00%"
