"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","2.9200","2.9275","2.9411","2.8935","","-0.26%"
"03/01/2026","2.9275","2.8570","2.9638","2.8570","","2.16%"
"02/01/2026","2.8655","2.8440","2.8832","2.8273","","0.49%"
"01/01/2026","2.8516","2.8855","2.9147","2.8090","","-1.17%"
"12/01/2025","2.8854","2.9385","2.9671","2.8651","","-2.01%"
"11/01/2025","2.9447","2.9455","2.9838","2.9089","","-0.27%"
"10/01/2025","2.9526","2.9033","2.9669","2.8848","","1.69%"
"09/01/2025","2.9034","2.8735","2.9370","2.8598","","1.04%"
"08/01/2025","2.8735","2.9035","2.9202","2.8523","","-1.03%"
"07/01/2025","2.9035","2.8851","2.9326","2.8428","","0.64%"
"06/01/2025","2.8849","2.9830","2.9902","2.8637","","-2.87%"
"05/01/2025","2.9700","2.9640","3.0507","2.9535","","-0.38%"
"04/01/2025","2.9814","3.1060","3.1148","2.9444","","-4.07%"
"03/01/2025","3.1080","3.1690","3.1921","3.0660","","-1.92%"
"02/01/2025","3.1690","3.1890","3.2322","3.1407","","-1.00%"
"01/01/2025","3.2011","3.1940","3.2443","3.1530","","0.39%"
"12/01/2024","3.1886","3.1500","3.2035","3.1253","","1.60%"
"11/01/2024","3.1385","3.1025","3.1978","3.0746","","1.41%"
"10/01/2024","3.0950","3.0383","3.1227","3.0168","","1.94%"
"09/01/2024","3.0361","3.0530","3.0689","3.0050","","-0.74%"
"08/01/2024","3.0588","3.1051","3.1142","3.0100","","-1.04%"
"07/01/2024","3.0910","3.1390","3.1465","3.0660","","-1.70%"
"06/01/2024","3.1446","3.1051","3.1607","3.0770","","1.21%"
"05/01/2024","3.1069","3.1455","3.1501","3.0815","","-1.22%"
"04/01/2024","3.1452","3.1270","3.1646","3.0881","","0.59%"
"03/01/2024","3.1267","3.1051","3.1318","3.0683","","0.48%"
"02/01/2024","3.1118","3.1189","3.1470","3.0832","","-0.23%"
"01/01/2024","3.1190","3.0475","3.1240","3.0475","","1.41%"
"12/01/2023","3.0755","3.1096","3.1366","3.0400","","-1.09%"
"11/01/2023","3.1094","3.1839","3.1949","3.0760","","-2.32%"
"10/01/2023","3.1834","3.1530","3.2018","3.1356","","0.96%"
"09/01/2023","3.1530","3.0900","3.1888","3.0863","","2.04%"
"08/01/2023","3.0900","3.0796","3.1278","3.0422","","0.36%"
"07/01/2023","3.0790","3.0747","3.1126","2.9984","","-0.31%"
"06/01/2023","3.0885","3.0900","3.1240","3.0486","","-0.05%"
"05/01/2023","3.0900","3.0186","3.1216","3.0088","","2.20%"
"04/01/2023","3.0235","3.0445","3.1300","3.0123","","-1.01%"
"03/01/2023","3.0544","3.1352","3.1747","3.0378","","-3.20%"
"02/01/2023","3.1554","3.0540","3.1650","3.0137","","3.32%"
"01/01/2023","3.0540","3.1040","3.1588","3.0274","","-1.45%"
"12/01/2022","3.0990","3.2365","3.2483","3.0754","","-3.67%"
"11/01/2022","3.2170","3.2366","3.2934","3.0900","","-0.37%"
"10/01/2022","3.2289","3.2589","3.3160","3.1839","","-1.08%"
"09/01/2022","3.2642","3.1879","3.3381","3.1528","","2.39%"
"08/01/2022","3.1880","3.1413","3.2262","3.0900","","1.96%"
"07/01/2022","3.1267","3.0685","3.2174","3.0647","","1.92%"
"06/01/2022","3.0677","3.0230","3.1200","2.9978","","1.47%"
"05/01/2022","3.0232","3.0736","3.1205","3.0045","","-0.88%"
"04/01/2022","3.0501","2.9450","3.0850","2.9330","","3.75%"
"03/01/2022","2.9398","2.8947","2.9839","2.8820","","1.13%"
"02/01/2022","2.9069","2.8953","2.9248","2.8282","","0.82%"
"01/01/2022","2.8833","2.8745","2.9373","2.8400","","0.46%"
"12/01/2021","2.8701","2.8666","2.9134","2.8342","","-0.27%"
"11/01/2021","2.8779","2.8185","2.9150","2.7919","","2.27%"
"10/01/2021","2.8141","2.8098","2.8450","2.7837","","-0.60%"
"09/01/2021","2.8311","2.7864","2.8338","2.7476","","1.60%"
"08/01/2021","2.7864","2.7680","2.8172","2.7462","","0.82%"
"07/01/2021","2.7638","2.7854","2.8133","2.7439","","-0.78%"
"06/01/2021","2.7854","2.7117","2.8000","2.7044","","2.72%"
"05/01/2021","2.7117","2.7395","2.7588","2.7000","","-1.30%"
"04/01/2021","2.7473","2.7848","2.8053","2.7060","","-1.55%"
"03/01/2021","2.7905","2.7060","2.7980","2.6988","","2.77%"
"02/01/2021","2.7154","2.6880","2.7428","2.6757","","0.57%"
"01/01/2021","2.7000","2.6737","2.7402","2.6513","","0.23%"
"12/01/2020","2.6937","2.7328","2.7342","2.6570","","-1.06%"
"11/01/2020","2.7226","2.7565","2.7850","2.7071","","-1.88%"
"10/01/2020","2.7747","2.7493","2.7802","2.7200","","0.37%"
"09/01/2020","2.7645","2.7241","2.7836","2.7000","","1.86%"
"08/01/2020","2.7141","2.7545","2.7683","2.6958","","-1.47%"
"07/01/2020","2.7545","2.8522","2.8741","2.7150","","-3.54%"
"06/01/2020","2.8556","2.8555","2.8785","2.8007","","0.01%"
"05/01/2020","2.8552","2.8998","2.9193","2.8458","","-1.54%"
"04/01/2020","2.8998","2.8642","2.9272","2.8550","","1.24%"
"03/01/2020","2.8642","2.8460","2.9530","2.7643","","0.06%"
"02/01/2020","2.8626","2.8105","2.8910","2.7987","","1.94%"
"01/01/2020","2.8082","2.7751","2.8398","2.7655","","0.70%"
"12/01/2019","2.7888","2.8442","2.8711","2.7661","","-1.93%"
"11/01/2019","2.8437","2.8159","2.8691","2.8050","","0.78%"
"10/01/2019","2.8218","2.8722","2.8861","2.8073","","-1.44%"
"09/01/2019","2.8629","2.8780","2.9022","2.8248","","-0.53%"
"08/01/2019","2.8781","2.8888","2.9070","2.8163","","-0.37%"
"07/01/2019","2.8887","2.8705","2.9089","2.8441","","0.45%"
"06/01/2019","2.8758","2.9830","3.0009","2.8420","","-3.97%"
"05/01/2019","2.9948","3.0090","3.0225","2.9579","","-0.72%"
"04/01/2019","3.0165","3.0255","3.0374","2.9807","","-0.09%"
"03/01/2019","3.0193","3.0263","3.0586","2.9794","","-0.30%"
"02/01/2019","3.0283","3.0218","3.0797","3.0050","","0.52%"
"01/01/2019","3.0127","2.9883","3.0545","2.9735","","0.82%"
"12/01/2018","2.9883","2.9260","3.0388","2.9005","","1.39%"
"11/01/2018","2.9472","2.8797","2.9736","2.8447","","2.87%"
"10/01/2018","2.8651","2.7823","2.9374","2.7805","","2.27%"
"09/01/2018","2.8015","2.7600","2.8343","2.7388","","1.54%"
"08/01/2018","2.7589","2.6717","2.7965","2.6393","","2.53%"
"07/01/2018","2.6908","2.6232","2.7227","2.5838","","2.03%"
"06/01/2018","2.6373","2.5525","2.6705","2.5349","","1.59%"
"05/01/2018","2.5960","2.4432","2.6350","2.4401","","4.55%"
"04/01/2018","2.4830","2.3920","2.4931","2.3657","","3.54%"
"03/01/2018","2.3980","2.4042","2.4469","2.3625","","-0.27%"
"02/01/2018","2.4046","2.3868","2.4456","2.3467","","-0.62%"
"01/01/2018","2.4197","2.4545","2.5210","2.3598","","-1.42%"
"12/01/2017","2.4545","2.4803","2.5294","2.4478","","-1.00%"
"11/01/2017","2.4792","2.4875","2.5367","2.4476","","-0.64%"
"10/01/2017","2.4951","2.4645","2.5415","2.3767","","1.30%"
"09/01/2017","2.4630","2.4389","2.4857","2.3886","","1.31%"
"08/01/2017","2.4311","2.4009","2.5000","2.3627","","2.51%"
"07/01/2017","2.3716","2.4606","2.5010","2.3625","","-3.30%"
"06/01/2017","2.4525","2.4151","2.5107","2.3163","","0.79%"
"05/01/2017","2.4332","2.4268","2.6322","2.2341","","-1.21%"
"04/01/2017","2.4631","2.2775","2.6134","2.2583","","7.90%"
"03/01/2017","2.2828","2.2897","2.3450","2.2368","","-0.89%"
"02/01/2017","2.3032","2.2979","2.3209","2.2461","","0.51%"
"01/01/2017","2.2915","2.3005","2.3743","2.2565","","-0.39%"
"12/01/2016","2.3005","2.3128","2.3584","2.2585","","-0.30%"
"11/01/2016","2.3074","2.2441","2.3233","2.1843","","2.79%"
"10/01/2016","2.2447","2.1983","2.2688","2.1904","","2.27%"
"09/01/2016","2.1948","2.2096","2.2210","2.1796","","-0.61%"
"08/01/2016","2.2083","2.2084","2.2265","2.1711","","-0.02%"
"07/01/2016","2.2087","2.1831","2.2443","2.1740","","1.01%"
"06/01/2016","2.1866","2.1230","2.2307","2.0837","","3.41%"
"05/01/2016","2.1144","2.0050","2.1269","1.9746","","6.07%"
"04/01/2016","1.9934","2.0097","2.0345","1.9775","","-1.08%"
"03/01/2016","2.0152","2.0479","2.0658","1.9864","","-1.68%"
"02/01/2016","2.0497","2.0473","2.0565","1.9836","","0.36%"
"01/01/2016","2.0424","2.0363","2.0661","2.0133","","0.32%"
"12/01/2015","2.0358","2.0612","2.0728","1.9946","","-1.04%"
"11/01/2015","2.0572","1.9890","2.0745","1.9802","","3.29%"
"10/01/2015","1.9916","1.9647","2.0182","1.9296","","1.19%"
"09/01/2015","1.9681","1.9526","1.9780","1.9268","","0.79%"
"08/01/2015","1.9526","1.9600","1.9924","1.8808","","-0.77%"
"07/01/2015","1.9678","1.9441","1.9903","1.9326","","0.87%"
"06/01/2015","1.9508","1.9574","1.9751","1.9086","","-0.46%"
"05/01/2015","1.9598","1.9079","1.9822","1.8850","","2.81%"
"04/01/2015","1.9063","1.9567","1.9911","1.8961","","-2.91%"
"03/01/2015","1.9634","1.9398","2.0180","1.9157","","0.76%"
"02/01/2015","1.9485","1.9285","1.9555","1.9006","","0.72%"
"01/01/2015","1.9345","1.8670","1.9728","1.8550","","3.74%"
"12/01/2014","1.8647","1.8339","1.8735","1.8254","","1.37%"
"11/01/2014","1.8395","1.8190","1.8485","1.8091","","1.02%"
"10/01/2014","1.8209","1.8002","1.8248","1.7699","","1.10%"
"09/01/2014","1.8011","1.7325","1.8091","1.7297","","3.51%"
