"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","577.510","576.620","577.730","574.840","","0.15%"
"03/01/2026","576.645","562.680","580.180","554.715","","1.10%"
"02/01/2026","570.375","561.430","572.075","550.175","","0.15%"
"01/01/2026","569.510","558.230","575.885","546.290","","2.02%"
"12/01/2025","558.230","565.930","575.715","555.390","","-1.43%"
"11/01/2025","566.310","570.480","580.785","563.275","","-1.59%"
"10/01/2025","575.450","558.250","577.145","557.650","","2.86%"
"09/01/2025","559.440","565.900","574.725","553.905","","-2.02%"
"08/01/2025","571.000","575.770","583.255","561.780","","-0.86%"
"07/01/2025","575.945","566.880","581.635","557.470","","1.60%"
"06/01/2025","566.855","582.340","587.315","560.960","","-3.41%"
"05/01/2025","586.875","577.930","600.680","575.765","","1.80%"
"04/01/2025","576.500","606.130","617.965","573.155","","-4.91%"
"03/01/2025","606.260","635.700","639.285","601.835","","-5.19%"
"02/01/2025","639.430","636.780","650.460","625.190","","1.27%"
"01/01/2025","631.400","640.220","653.925","625.285","","-0.34%"
"12/01/2024","633.530","624.980","643.485","620.445","","2.16%"
"11/01/2024","620.110","614.335","636.580","601.600","","2.89%"
"10/01/2024","602.680","597.455","617.780","589.650","","2.31%"
"09/01/2024","589.090","597.050","603.315","587.765","","-1.93%"
"08/01/2024","600.685","605.850","608.610","585.830","","-2.33%"
"07/01/2024","614.985","611.520","613.170","599.050","","0.37%"
"06/01/2024","612.700","604.150","614.650","600.800","","0.01%"
"05/01/2024","612.620","615.000","615.920","601.960","","-1.59%"
"04/01/2024","622.525","607.730","618.710","602.510","","1.15%"
"03/01/2024","615.425","607.200","609.170","595.870","","0.08%"
"02/01/2024","614.925","606.240","613.270","601.800","","-0.19%"
"01/01/2024","616.075","594.380","607.590","591.650","","1.00%"
"12/01/2023","610.000","602.350","611.610","588.720","","0.00%"
"11/01/2023","609.995","620.000","623.650","595.300","","-3.13%"
"10/01/2023","629.735","620.760","627.710","613.270","","-0.20%"
"09/01/2023","631.010","604.850","625.380","602.740","","2.59%"
"08/01/2023","615.095","596.490","609.230","592.710","","1.79%"
"07/01/2023","604.275","601.250","605.410","581.630","","-0.80%"
"06/01/2023","609.175","613.500","615.230","595.620","","-2.21%"
"05/01/2023","622.920","595.670","616.730","586.240","","3.13%"
"04/01/2023","604.000","609.580","611.850","591.110","","-1.66%"
"03/01/2023","614.200","618.550","623.710","600.090","","-1.45%"
"02/01/2023","623.230","603.730","622.470","594.430","","1.70%"
"01/01/2023","612.790","613.960","625.610","600.090","","-1.89%"
"12/01/2022","624.590","630.240","631.030","610.930","","-2.18%"
"11/01/2022","638.495","661.340","669.510","624.780","","-3.24%"
"10/01/2022","659.860","670.930","680.590","654.080","","-4.31%"
"09/01/2022","689.575","651.980","687.730","643.720","","3.73%"
"08/01/2022","664.755","641.560","662.520","632.490","","1.59%"
"07/01/2022","654.355","625.610","659.050","620.820","","3.39%"
"06/01/2022","632.915","610.930","633.100","607.470","","1.92%"
"05/01/2022","620.980","622.670","633.650","607.520","","-1.55%"
"04/01/2022","630.730","592.710","626.390","588.910","","4.44%"
"03/01/2022","603.940","584.740","606.920","581.000","","1.76%"
"02/01/2022","593.520","583.750","590.530","569.570","","-0.16%"
"01/01/2022","594.500","576.000","589.730","568.820","","1.25%"
"12/01/2021","587.160","578.500","584.480","574.000","","-0.21%"
"11/01/2021","588.410","565.140","586.360","560.850","","2.63%"
"10/01/2021","573.345","566.210","569.160","559.670","","0.14%"
"09/01/2021","572.560","549.780","567.240","549.000","","2.00%"
"08/01/2021","561.330","551.110","559.360","545.620","","2.13%"
"07/01/2021","549.640","547.640","555.700","545.850","","-1.44%"
"06/01/2021","557.645","531.070","549.720","529.860","","2.45%"
"05/01/2021","544.315","543.750","544.400","529.340","","-1.31%"
"04/01/2021","551.565","556.000","557.560","534.400","","-0.80%"
