"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","569.000","572.000","576.500","564.250","","-0.52%"
"03/01/2026","572.000","555.750","577.500","555.700","","2.92%"
"02/01/2026","555.750","550.000","566.000","547.500","","1.14%"
"01/01/2026","549.500","559.000","566.500","546.500","","-1.70%"
"12/01/2025","559.000","569.500","570.025","555.375","","-1.06%"
"11/01/2025","565.000","577.500","578.500","559.500","","-2.16%"
"10/01/2025","577.500","558.500","577.500","555.500","","3.40%"
"09/01/2025","558.500","562.250","565.250","552.750","","-0.67%"
"08/01/2025","562.250","567.250","578.500","557.500","","-0.88%"
"07/01/2025","567.250","559.000","578.500","555.500","","1.43%"
"06/01/2025","559.250","578.750","579.780","558.875","","-3.37%"
"05/01/2025","578.750","577.250","585.045","574.500","","0.07%"
"04/01/2025","578.370","608.000","608.250","569.000","","-4.64%"
"03/01/2025","606.500","631.250","631.405","599.305","","-3.92%"
"02/01/2025","631.250","630.250","641.250","622.500","","0.16%"
"01/01/2025","630.250","630.250","643.000","625.500","","0.56%"
"12/01/2024","626.750","622.920","632.750","605.250","","1.62%"
"11/01/2024","616.750","604.000","628.810","600.500","","2.71%"
"10/01/2024","600.500","586.250","609.330","584.500","","3.05%"
"09/01/2024","582.750","590.980","600.500","584.850","","-0.81%"
"08/01/2024","587.480","602.500","605.420","585.000","","-2.41%"
"07/01/2024","602.000","612.750","617.100","599.500","","-1.19%"
"06/01/2024","609.250","606.000","616.860","601.500","","1.12%"
"05/01/2024","602.500","612.000","615.015","602.000","","-0.99%"
"04/01/2024","608.500","608.750","619.205","603.250","","0.41%"
"03/01/2024","606.000","605.750","634.270","598.500","","0.62%"
"02/01/2024","602.250","606.250","612.375","598.500","","-0.08%"
"01/01/2024","602.750","592.750","610.425","589.500","","2.29%"
"12/01/2023","589.250","598.000","610.620","588.750","","-0.88%"
"11/01/2023","594.500","617.500","622.350","596.750","","-3.06%"
"10/01/2023","613.250","619.000","629.215","615.000","","-0.61%"
"09/01/2023","617.000","601.750","627.555","601.750","","3.13%"
"08/01/2023","598.250","595.000","627.485","594.250","","1.14%"
"07/01/2023","591.500","603.685","606.720","581.375","","-5.36%"
"06/01/2023","625.010","614.280","636.570","598.250","","2.33%"
"05/01/2023","610.780","596.250","616.385","592.920","","3.04%"
"04/01/2023","592.750","604.000","613.075","592.000","","-1.29%"
"03/01/2023","600.500","619.500","636.415","600.000","","-2.52%"
"02/01/2023","616.000","604.750","627.450","595.375","","2.45%"
"01/01/2023","601.250","616.250","624.030","600.000","","-2.24%"
"12/01/2022","615.000","633.000","661.710","613.390","","-2.30%"
"11/01/2022","629.500","659.750","671.445","618.500","","-4.08%"
"10/01/2022","656.250","678.750","695.240","651.125","","-2.81%"
"09/01/2022","675.250","655.750","699.465","643.125","","3.41%"
"08/01/2022","653.000","640.500","663.815","634.990","","2.51%"
"07/01/2022","637.000","627.500","655.840","626.980","","2.08%"
"06/01/2022","624.000","610.480","636.145","607.500","","2.80%"
"05/01/2022","606.980","621.000","633.695","609.990","","-1.70%"
"04/01/2022","617.500","588.000","624.065","588.000","","5.65%"
"03/01/2022","584.500","586.750","607.650","584.000","","0.21%"
"02/01/2022","583.250","587.750","595.365","572.000","","-0.17%"
"01/01/2022","584.250","580.000","597.125","571.000","","1.34%"
"12/01/2021","576.500","579.750","590.235","578.000","","0.04%"
"11/01/2021","576.250","562.250","589.710","561.500","","3.13%"
"10/01/2021","558.750","561.000","575.435","559.500","","0.22%"
"09/01/2021","557.500","556.000","573.015","551.875","","0.90%"
"08/01/2021","552.500","555.500","568.265","550.950","","0.09%"
"07/01/2021","552.000","551.500","565.540","549.500","","0.73%"
"06/01/2021","548.000","537.750","559.030","535.000","","2.57%"
"05/01/2021","534.250","541.750","554.075","534.000","","-0.74%"
"04/01/2021","538.250","563.265","564.740","540.375","","-4.28%"
"03/01/2021","562.290","540.500","569.330","539.490","","4.71%"
"02/01/2021","537.000","542.500","555.795","538.000","","-0.56%"
"01/01/2021","540.000","534.000","553.310","531.850","","1.79%"
"12/01/2020","530.500","550.000","553.915","533.000","","-2.93%"
"11/01/2020","546.500","558.000","579.530","547.630","","-1.44%"
"10/01/2020","554.500","559.500","572.895","552.240","","-0.27%"
"09/01/2020","556.000","551.750","574.660","547.160","","1.41%"
"08/01/2020","548.250","557.750","572.235","549.700","","-1.08%"
"07/01/2020","554.250","585.220","598.555","556.845","","-4.66%"
"06/01/2020","581.340","590.220","598.070","575.350","","-0.88%"
"05/01/2020","586.490","603.700","612.310","583.700","","-2.28%"
"04/01/2020","600.200","592.500","613.095","583.700","","1.90%"
"03/01/2020","589.000","596.480","615.315","569.620","","-0.67%"
"02/01/2020","593.000","594.950","613.005","576.750","","0.26%"
"01/01/2020","591.450","585.250","603.540","581.840","","1.67%"
"12/01/2019","581.750","595.750","600.910","581.220","","-1.77%"
"11/01/2019","592.250","589.600","603.185","581.710","","1.05%"
"10/01/2019","586.100","599.480","607.815","581.835","","-1.66%"
"09/01/2019","595.980","594.450","609.240","579.635","","-1.33%"
"08/01/2019","603.990","587.950","605.295","578.540","","1.92%"
"07/01/2019","592.610","575.980","599.080","573.380","","3.52%"
"06/01/2019","572.480","588.000","604.195","574.985","","-2.60%"
"05/01/2019","587.740","586.550","604.220","582.240","","0.76%"
"04/01/2019","583.300","583.700","605.240","575.720","","0.53%"
"03/01/2019","580.200","576.480","590.670","570.270","","1.36%"
"02/01/2019","572.410","569.750","585.000","569.750","","1.09%"
"01/01/2019","566.250","575.745","584.155","568.665","","-0.52%"
"12/01/2018","569.220","576.200","597.065","571.550","","-0.61%"
"11/01/2018","572.700","578.200","594.400","571.000","","-0.35%"
"10/01/2018","574.700","564.480","578.875","560.730","","2.45%"
"09/01/2018","560.980","561.200","577.060","555.640","","0.59%"
"08/01/2018","557.700","562.950","580.850","559.500","","-1.33%"
"07/01/2018","565.195","586.065","588.400","557.770","","-2.54%"
"06/01/2018","579.915","583.330","588.395","575.090","","-0.59%"
"05/01/2018","583.330","559.200","587.990","559.060","","4.32%"
"04/01/2018","559.200","532.500","560.135","529.945","","5.71%"
"03/01/2018","529.000","529.920","553.775","525.590","","0.23%"
"02/01/2018","527.800","529.000","541.475","525.720","","-0.23%"
"01/01/2018","529.000","567.995","576.080","522.740","","-7.76%"
"12/01/2017","573.510","577.410","584.580","566.010","","2.21%"
"11/01/2017","561.110","564.500","569.690","551.000","","-0.26%"
"10/01/2017","562.570","556.000","568.485","553.500","","1.18%"
"09/01/2017","556.000","550.000","560.450","542.950","","0.08%"
"08/01/2017","555.570","554.910","570.250","547.055","","-0.95%"
"07/01/2017","560.890","582.135","586.070","557.995","","-3.20%"
"06/01/2017","579.430","585.455","593.495","578.075","","-0.92%"
"05/01/2017","584.790","605.150","607.050","583.865","","-4.51%"
"04/01/2017","612.385","614.850","623.490","600.795","","-0.16%"
"03/01/2017","613.350","623.550","630.320","605.705","","-1.40%"
