"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","14.1749","14.2568","14.3896","13.5429","","3.48%"
"03/01/2026","13.6981","13.8320","14.4726","12.9995","","4.00%"
"02/01/2026","13.1711","13.6625","13.9569","13.0486","","0.13%"
"01/01/2026","13.1537","14.0363","14.1559","12.8932","","-6.29%"
"12/01/2025","14.0363","14.3072","14.3689","13.1029","","-1.89%"
"11/01/2025","14.3072","14.2976","14.4209","13.1872","","0.07%"
"10/01/2025","14.2976","14.1471","14.4097","13.2499","","1.06%"
"09/01/2025","14.1471","14.3683","14.4623","13.2372","","-1.54%"
"08/01/2025","14.3683","13.6553","14.6433","13.3389","","5.22%"
"07/01/2025","13.6553","13.2983","14.5586","12.7890","","2.35%"
"06/01/2025","13.3424","13.4594","13.5504","13.2366","","-0.87%"
"05/01/2025","13.4594","13.6989","13.7177","13.3694","","-1.75%"
"04/01/2025","13.6989","13.6991","14.2658","13.6244","","0.00%"
"03/01/2025","13.6991","13.8219","13.9569","13.5413","","-1.10%"
"02/01/2025","13.8509","13.9087","14.0948","13.7556","","-0.42%"
"01/01/2025","13.9087","14.0255","14.1948","13.6895","","-0.41%"
"12/01/2024","13.9665","13.6055","14.0353","13.4772","","2.79%"
"11/01/2024","13.5870","13.3694","13.7552","13.2453","","2.17%"
"10/01/2024","13.2979","13.0293","13.4681","13.0040","","2.13%"
"09/01/2024","13.0208","13.2803","13.4139","12.9705","","-1.82%"
"08/01/2024","13.2626","13.5135","13.6612","13.2100","","-1.86%"
"07/01/2024","13.5135","13.4954","13.7458","13.4229","","-0.27%"
"06/01/2024","13.5501","13.6613","13.7931","13.4410","","-0.68%"
"05/01/2024","13.6426","14.1746","14.2048","12.8087","","-3.41%"
"04/01/2024","14.1243","13.7458","14.2963","13.5319","","3.11%"
"03/01/2024","13.6986","13.7837","13.8217","13.5136","","-0.14%"
"02/01/2024","13.7174","13.5962","13.8601","13.4864","","1.65%"
"01/01/2024","13.4953","13.3780","13.7552","13.3513","","1.22%"
"12/01/2023","13.3333","13.4772","13.7364","13.2803","","-1.73%"
"11/01/2023","13.5685","13.6240","13.6800","13.2628","","-0.27%"
"10/01/2023","13.6054","13.7657","14.0061","13.5871","","-1.16%"
"09/01/2023","13.7657","13.5686","13.8410","13.4410","","1.73%"
"08/01/2023","13.5318","13.1321","13.8032","13.1062","","3.25%"
"07/01/2023","13.1062","13.5321","13.6428","12.9284","","-2.49%"
"06/01/2023","13.4409","13.8221","13.8793","13.1927","","-2.28%"
"05/01/2023","13.7552","13.2015","13.8505","13.1235","","4.40%"
"04/01/2023","13.1752","13.0044","13.3158","12.9454","","1.58%"
"03/01/2023","12.9702","13.2892","13.5232","12.9620","","-2.07%"
"02/01/2023","13.2450","12.9710","13.3961","12.6423","","2.11%"
"01/01/2023","12.9710","12.7879","13.0126","12.5708","","2.08%"
"12/01/2022","12.7065","12.8784","13.1842","12.6987","","-0.63%"
"11/01/2022","12.7877","13.4139","13.6243","12.7797","","-4.60%"
"10/01/2022","13.4048","13.3245","13.6428","13.0977","","1.07%"
"09/01/2022","13.2626","12.8955","13.4954","12.7961","","3.58%"
"08/01/2022","12.8041","12.5476","12.9202","12.2325","","2.31%"
"07/01/2022","12.5156","12.4305","12.9202","12.3382","","1.25%"
"06/01/2022","12.3609","12.0409","12.4690","11.8695","","3.09%"
"05/01/2022","11.9904","12.1216","12.3688","11.8909","","-0.48%"
"04/01/2022","12.0482","11.4290","12.2400","11.4092","","5.42%"
"03/01/2022","11.4286","11.6623","11.7857","11.3380","","-1.49%"
"02/01/2022","11.6009","11.6212","11.7029","11.4026","","0.00%"
"01/01/2022","11.6009","11.7651","11.8415","11.4286","","-0.81%"
"12/01/2021","11.6959","11.6554","11.8695","11.5876","","0.23%"
"11/01/2021","11.6686","11.4091","11.8907","11.2740","","3.38%"
"10/01/2021","11.2867","11.3188","11.4418","11.0866","","0.11%"
"09/01/2021","11.2740","11.0498","11.4419","10.8756","","2.25%"
"08/01/2021","11.0254","11.0375","11.3961","10.8874","","0.00%"
"07/01/2021","11.0254","10.9171","11.2108","10.8579","","1.21%"
"06/01/2021","10.8932","10.6273","10.9650","10.5154","","3.05%"
