"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","1.3912","1.3916","1.3951","1.3868","","-0.03%"
"03/01/2026","1.3916","1.3653","1.3968","1.3525","","1.99%"
"02/01/2026","1.3645","1.3596","1.3726","1.3503","","0.21%"
"01/01/2026","1.3617","1.3725","1.3930","1.3481","","-0.79%"
"12/01/2025","1.3725","1.3975","1.4015","1.3642","","-1.78%"
"11/01/2025","1.3974","1.4004","1.4141","1.3937","","-0.26%"
"10/01/2025","1.4011","1.3921","1.4081","1.3887","","0.65%"
"09/01/2025","1.3920","1.3737","1.3960","1.3725","","1.27%"
"08/01/2025","1.3745","1.3855","1.3926","1.3721","","-0.79%"
"07/01/2025","1.3855","1.3611","1.3860","1.3556","","1.81%"
"06/01/2025","1.3609","1.3739","1.3800","1.3539","","-0.96%"
"05/01/2025","1.3741","1.3797","1.4017","1.3686","","-0.42%"
"04/01/2025","1.3799","1.4386","1.4417","1.3769","","-4.09%"
"03/01/2025","1.4388","1.4467","1.4543","1.4234","","-0.54%"
"02/01/2025","1.4466","1.4689","1.4794","1.4151","","-0.42%"
"01/01/2025","1.4527","1.4383","1.4595","1.4261","","1.02%"
"12/01/2024","1.4380","1.4007","1.4469","1.3986","","2.70%"
"11/01/2024","1.4002","1.3931","1.4179","1.3822","","0.50%"
"10/01/2024","1.3933","1.3525","1.3947","1.3472","","3.02%"
"09/01/2024","1.3524","1.3489","1.3649","1.3419","","0.23%"
"08/01/2024","1.3493","1.3806","1.3946","1.3438","","-2.28%"
"07/01/2024","1.3808","1.3678","1.3866","1.3588","","0.96%"
"06/01/2024","1.3677","1.3628","1.3793","1.3602","","0.37%"
"05/01/2024","1.3626","1.3779","1.3785","1.3589","","-1.10%"
"04/01/2024","1.3777","1.3545","1.3848","1.3477","","1.77%"
"03/01/2024","1.3537","1.3573","1.3615","1.3419","","-0.28%"
"02/01/2024","1.3575","1.3436","1.3607","1.3364","","1.05%"
"01/01/2024","1.3434","1.3247","1.3543","1.3228","","1.43%"
"12/01/2023","1.3245","1.3562","1.3621","1.3176","","-2.34%"
"11/01/2023","1.3562","1.3874","1.3901","1.3541","","-2.25%"
"10/01/2023","1.3874","1.3572","1.3894","1.3556","","2.19%"
"09/01/2023","1.3577","1.3508","1.3696","1.3381","","0.52%"
"08/01/2023","1.3507","1.3190","1.3641","1.3182","","2.43%"
"07/01/2023","1.3187","1.3242","1.3389","1.3091","","-0.37%"
"06/01/2023","1.3236","1.3572","1.3586","1.3116","","-2.48%"
