"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","11.0050","10.9700","11.2000","10.9400","","0.32%"
"03/01/2026","10.9700","10.7300","11.2000","10.5950","","2.76%"
"02/01/2026","10.6750","10.9250","11.1000","10.5750","","-2.29%"
"01/01/2026","10.9250","10.5000","11.0250","10.3750","","4.05%"
"12/01/2025","10.5000","11.2000","11.5900","10.3750","","-6.87%"
"11/01/2025","11.2750","10.9000","11.3550","10.7250","","3.44%"
"10/01/2025","10.9000","12.5000","12.6250","10.5500","","-12.80%"
"09/01/2025","12.5000","11.6750","12.5250","11.4750","","6.84%"
"08/01/2025","11.7000","10.5000","11.8750","10.4000","","11.43%"
"07/01/2025","10.5000","10.3500","10.6500","10.2900","","1.45%"
"06/01/2025","10.3500","10.2750","10.4250","10.1200","","0.98%"
"05/01/2025","10.2500","14.1000","14.2250","10.1750","","-27.30%"
"04/01/2025","14.1000","15.5000","15.5500","14.0500","","-9.03%"
"03/01/2025","15.5000","15.5000","15.5600","15.3500","","0.00%"
"02/01/2025","15.5000","15.3500","15.9500","15.2500","","1.31%"
"01/01/2025","15.3000","14.7000","15.4250","14.6250","","4.44%"
"12/01/2024","14.6500","15.3700","15.7350","14.5500","","-3.62%"
"11/01/2024","15.2000","16.3000","16.4925","15.2000","","-6.46%"
"10/01/2024","16.2500","15.8000","16.5250","15.6700","","3.17%"
"09/01/2024","15.7500","15.6500","15.8900","15.5350","","1.09%"
"08/01/2024","15.5800","15.5500","16.1475","15.4000","","0.52%"
"07/01/2024","15.5000","15.2500","15.8200","15.1750","","1.64%"
"06/01/2024","15.2500","14.7500","15.4500","14.6500","","3.04%"
"05/01/2024","14.8000","13.6700","14.9097","13.5400","","8.66%"
"04/01/2024","13.6200","13.2500","14.1500","13.1500","","3.18%"
"03/01/2024","13.2000","12.6500","13.3900","12.5250","","4.76%"
"02/01/2024","12.6000","12.3400","12.8300","12.2250","","2.44%"
"01/01/2024","12.3000","11.9500","12.4450","11.8300","","3.36%"
"12/01/2023","11.9000","12.0000","12.1505","11.8500","","-0.42%"
"11/01/2023","11.9500","11.8750","12.1350","11.7500","","0.59%"
"10/01/2023","11.8800","11.5050","11.9750","11.4250","","2.86%"
"09/01/2023","11.5500","11.3500","11.8000","11.2750","","1.76%"
"08/01/2023","11.3500","11.3200","11.6250","11.0500","","0.27%"
"07/01/2023","11.3200","11.3000","11.8350","10.9300","","-0.04%"
"06/01/2023","11.3250","11.2500","11.6000","10.8100","","0.67%"
"05/01/2023","11.2500","11.7500","12.2750","10.4000","","-4.66%"
"04/01/2023","11.8000","11.7500","12.4500","10.5500","","2.16%"
"03/01/2023","11.5500","12.8500","12.9500","11.4500","","-10.12%"
"02/01/2023","12.8500","12.3000","12.9500","11.9000","","2.80%"
"01/01/2023","12.5000","10.3000","12.5000","9.7500","","25.25%"
"12/01/2022","9.9800","14.4000","14.4000","8.2500","","-30.69%"
"11/01/2022","14.4000","14.0000","14.7750","13.1250","","2.86%"
"10/01/2022","14.0000","10.4500","14.0500","10.1300","","34.94%"
"09/01/2022","10.3750","9.9250","10.4500","9.6750","","2.72%"
"08/01/2022","10.1000","8.4500","10.1100","8.2500","","19.53%"
"07/01/2022","8.4500","8.0250","8.5750","7.8250","","5.30%"
"06/01/2022","8.0250","7.7750","8.0850","7.6000","","2.88%"
"05/01/2022","7.8000","7.5250","7.8500","7.2500","","3.65%"
"04/01/2022","7.5250","7.5750","7.6925","7.2750","","0.00%"
"03/01/2022","7.5250","6.7850","7.6750","6.6250","","11.90%"
"02/01/2022","6.7250","6.2000","6.8600","6.0500","","7.17%"
"01/01/2022","6.2750","6.1500","6.3863","5.9975","","2.03%"
"12/01/2021","6.1500","6.1500","6.2800","6.0375","","0.24%"
"11/01/2021","6.1350","6.1000","6.2350","5.9600","","0.41%"
"10/01/2021","6.1100","6.0100","6.2700","5.9350","","0.99%"
"09/01/2021","6.0500","6.0400","6.1175","5.8050","","0.17%"
"08/01/2021","6.0400","5.9800","6.0950","5.7700","","1.00%"
"07/01/2021","5.9800","5.8900","6.0200","5.7800","","2.22%"
"06/01/2021","5.8500","5.7800","5.9350","5.7450","","1.21%"
"05/01/2021","5.7800","5.7800","5.8250","5.7200","","0.35%"
"04/01/2021","5.7600","5.7800","5.8300","5.6625","","0.17%"
"03/01/2021","5.7500","5.7500","5.8800","5.6925","","0.35%"
"02/01/2021","5.7300","5.8250","5.8700","5.7275","","-1.46%"
"01/01/2021","5.8150","5.8800","5.9050","5.7700","","-0.43%"
"12/01/2020","5.8400","5.8600","5.9900","5.7675","","-0.51%"
"11/01/2020","5.8700","5.8550","5.9700","5.7750","","0.73%"
"10/01/2020","5.8275","5.8350","5.8840","5.7650","","0.65%"
"09/01/2020","5.7900","5.7800","5.8600","5.6850","","0.17%"
"08/01/2020","5.7800","5.7750","5.8375","5.6850","","0.35%"
"07/01/2020","5.7600","5.7850","5.8500","5.6650","","-0.43%"
"06/01/2020","5.7850","5.7850","5.8750","5.6250","","0.00%"
"05/01/2020","5.7850","5.7400","5.8975","5.6300","","0.17%"
"04/01/2020","5.7750","5.7250","5.9500","5.6150","","0.17%"
"03/01/2020","5.7650","5.4000","5.9200","5.2950","","5.47%"
"02/01/2020","5.4658","5.5000","5.5750","5.2050","","-0.37%"
"01/01/2020","5.4862","5.6600","5.7860","5.4350","","-3.07%"
"12/01/2019","5.6600","5.5850","5.8450","5.4950","","2.35%"
"11/01/2019","5.5300","5.4450","5.6425","5.3525","","1.56%"
"10/01/2019","5.4450","5.3650","5.5500","5.3200","","0.46%"
"09/01/2019","5.4200","5.4450","5.5353","5.3350","","-0.55%"
"08/01/2019","5.4500","5.3987","5.5200","5.2900","","1.30%"
"07/01/2019","5.3800","5.4000","5.4850","5.2050","","-0.92%"
"06/01/2019","5.4300","5.3100","5.5000","5.1674","","0.66%"
"05/01/2019","5.3946","5.2000","5.4658","4.9900","","4.94%"
"04/01/2019","5.1408","5.5200","5.5200","4.9800","","-6.24%"
"03/01/2019","5.4831","5.2150","5.8675","4.9500","","-0.21%"
"02/01/2019","5.4945","4.9513","5.5547","4.8938","","11.47%"
"01/01/2019","4.9291","4.8760","5.1000","4.8134","","2.26%"
"12/01/2018","4.8200","4.9050","5.0023","4.7543","","-1.70%"
"11/01/2018","4.9036","4.8550","5.0005","4.7807","","1.56%"
"10/01/2018","4.8284","4.8050","4.9800","4.7100","","1.12%"
"09/01/2018","4.7750","4.8150","5.0055","4.7150","","0.84%"
"08/01/2018","4.7350","4.7400","4.9050","4.6935","","0.42%"
"07/01/2018","4.7150","4.7800","4.8500","4.7075","","-1.05%"
"06/01/2018","4.7649","4.7273","4.8500","4.6300","","1.01%"
"05/01/2018","4.7173","4.5000","4.7375","4.4300","","4.95%"
"04/01/2018","4.4950","4.4167","4.5100","4.3985","","1.87%"
"03/01/2018","4.4125","4.4825","4.5000","4.3950","","-0.95%"
"02/01/2018","4.4550","4.5525","4.5525","4.3850","","-0.89%"
"01/01/2018","4.4950","4.5378","4.5775","4.4750","","-0.60%"
"12/01/2017","4.5220","4.5500","4.5950","4.4075","","-0.18%"
"11/01/2017","4.5300","4.3875","4.6500","4.3795","","3.19%"
"10/01/2017","4.3900","4.4300","4.5275","4.3573","","0.50%"
"09/01/2017","4.3680","4.4300","4.4502","4.3375","","-0.66%"
"08/01/2017","4.3968","4.4175","4.4775","4.2864","","0.61%"
"07/01/2017","4.3700","4.4175","4.4600","4.2900","","-0.16%"
"06/01/2017","4.3768","4.3250","4.4713","4.2500","","1.15%"
"05/01/2017","4.3269","4.1500","4.5100","4.1150","","2.56%"
"04/01/2017","4.2188","4.3500","4.3950","4.0650","","-2.71%"
"03/01/2017","4.3361","4.6950","4.8100","4.2150","","-7.55%"
"02/01/2017","4.6900","4.2800","4.7300","4.2600","","7.92%"
"01/01/2017","4.3457","4.3038","4.4225","4.1310","","1.60%"
"12/01/2016","4.2771","4.2000","4.4450","3.9895","","-0.08%"
"11/01/2016","4.2805","3.9750","4.4800","3.7549","","7.82%"
"10/01/2016","3.9700","4.0000","4.0648","3.8541","","0.90%"
"09/01/2016","3.9344","3.9559","4.0605","3.7797","","-0.79%"
"08/01/2016","3.9659","3.9645","4.0275","3.7797","","1.78%"
"07/01/2016","3.8965","3.9500","4.0085","3.8187","","-1.10%"
"06/01/2016","3.9400","3.8840","3.9960","3.7875","","3.45%"
"05/01/2016","3.8086","3.8300","3.9462","3.7550","","0.00%"
"04/01/2016","3.8085","3.8400","3.9850","3.7550","","0.06%"
"03/01/2016","3.8062","3.9650","4.0100","3.7450","","-3.12%"
"02/01/2016","3.9289","3.9650","4.0800","3.8250","","-0.18%"
"01/01/2016","3.9361","3.8100","4.1350","3.7550","","3.58%"
"12/01/2015","3.8000","3.8300","3.8650","3.6971","","0.69%"
"11/01/2015","3.7738","3.8050","3.9150","3.6904","","-0.03%"
"10/01/2015","3.7750","3.7950","3.9400","3.5975","","1.21%"
"09/01/2015","3.7300","3.9000","4.1450","3.6150","","-4.36%"
"08/01/2015","3.9000","3.8200","4.3900","3.5500","","2.09%"
"07/01/2015","3.8200","4.3400","4.4000","3.1600","","-11.97%"
"06/01/2015","4.3392","4.0200","4.4325","4.0000","","6.88%"
"05/01/2015","4.0600","3.8500","4.1500","3.7900","","6.01%"
"04/01/2015","3.8300","3.8300","3.8750","3.7700","","0.52%"
"03/01/2015","3.8100","3.5000","3.8600","3.4725","","9.17%"
"02/01/2015","3.4900","3.2820","3.5200","3.2450","","4.80%"
"01/01/2015","3.3300","3.1900","3.5200","3.1475","","4.55%"
