"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","74.2000","74.2000","74.9000","74.1650","","0.00%"
"03/01/2026","74.2000","74.1750","74.9000","74.0000","","0.03%"
"02/01/2026","74.1750","74.1250","74.8500","74.0900","","0.07%"
"01/01/2026","74.1250","73.8400","74.7900","73.8400","","0.39%"
"12/01/2025","73.8400","74.1750","74.6150","73.5000","","-0.45%"
"11/01/2025","74.1750","73.4500","74.3500","72.0000","","0.99%"
"10/01/2025","73.4500","73.4000","73.9800","72.5000","","0.07%"
"09/01/2025","73.4000","72.9000","73.8000","71.9650","","0.69%"
"08/01/2025","72.9000","72.8150","73.3000","72.0000","","0.12%"
"07/01/2025","72.8150","72.7250","73.3200","71.9750","","0.12%"
"06/01/2025","72.7250","72.7500","73.0500","71.4000","","-0.03%"
"05/01/2025","72.7500","72.7000","73.0000","71.3500","","0.07%"
"04/01/2025","72.7000","72.6250","72.9000","72.1100","","0.10%"
"03/01/2025","72.6250","72.5750","72.8000","71.9250","","0.07%"
"02/01/2025","72.5750","72.5500","72.7100","71.7500","","0.03%"
"01/01/2025","72.5500","72.5750","73.0750","71.3450","","0.55%"
"12/01/2024","72.1500","71.8750","72.7000","70.6200","","0.56%"
"11/01/2024","71.7500","71.5250","72.2500","70.5000","","0.99%"
"10/01/2024","71.0500","70.6750","71.5500","68.4500","","1.00%"
"09/01/2024","70.3500","70.5250","71.1750","68.9000","","0.43%"
"08/01/2024","70.0500","69.6250","71.0250","68.2500","","0.86%"
"07/01/2024","69.4500","68.8500","69.9500","67.7500","","0.87%"
"06/01/2024","68.8500","68.4250","69.3500","67.6500","","0.73%"
"05/01/2024","68.3500","68.2000","68.8550","67.5100","","0.66%"
"04/01/2024","67.9000","67.8500","68.2050","67.2000","","0.30%"
"03/01/2024","67.7000","67.9750","67.9850","67.2500","","-0.37%"
"02/01/2024","67.9500","67.5500","67.9800","66.8750","","1.27%"
"01/01/2024","67.1000","67.2250","67.6250","66.4000","","-0.19%"
"12/01/2023","67.2250","67.2250","67.5000","66.4500","","0.00%"
"11/01/2023","67.2250","67.0250","67.5500","65.4750","","0.30%"
"10/01/2023","67.0250","64.7800","67.0300","64.3900","","3.47%"
"09/01/2023","64.7800","64.0500","65.5000","61.6550","","1.14%"
"08/01/2023","64.0500","62.7500","64.0550","59.6300","","2.07%"
"07/01/2023","62.7500","59.3000","62.8850","58.8300","","0.16%"
"06/01/2023","62.6500","62.5000","62.6600","58.6400","","0.24%"
"05/01/2023","62.5000","62.5000","62.8500","58.6000","","0.00%"
"04/01/2023","62.5000","63.2000","64.0100","59.2900","","-1.96%"
"03/01/2023","63.7500","63.3750","64.0050","61.0050","","0.59%"
"02/01/2023","63.3750","63.2250","63.3800","60.8000","","0.24%"
"01/01/2023","63.2250","61.9500","63.2300","60.6000","","0.36%"
"12/01/2022","63.0000","63.4000","63.4100","60.8500","","-0.63%"
