"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","8,772.50","8,770.00","8,802.50","8,765.63","","0.03%"
"03/01/2026","8,770.00","8,770.50","8,837.50","8,669.94","","-0.01%"
"02/01/2026","8,770.50","8,775.00","8,808.00","8,677.44","","-0.05%"
"01/01/2026","8,775.00","8,748.50","8,800.00","8,688.60","","0.30%"
"12/01/2025","8,748.50","8,688.00","8,767.00","8,680.00","","0.70%"
"11/01/2025","8,688.00","8,680.00","8,726.00","8,676.17","","0.09%"
"10/01/2025","8,680.00","8,674.50","8,713.00","8,655.50","","0.06%"
"09/01/2025","8,674.50","8,670.00","8,704.50","8,653.50","","0.05%"
"08/01/2025","8,670.00","8,674.50","8,700.00","8,655.50","","-0.05%"
"07/01/2025","8,674.50","8,665.50","8,706.00","8,652.00","","0.10%"
"06/01/2025","8,665.50","8,664.50","8,685.00","8,653.19","","0.01%"
"05/01/2025","8,664.50","8,661.50","8,679.00","8,653.19","","0.03%"
"04/01/2025","8,661.50","8,653.00","8,673.00","8,646.20","","0.10%"
"03/01/2025","8,653.00","8,649.00","8,664.50","8,638.90","","0.05%"
"02/01/2025","8,649.00","8,642.50","8,664.50","8,639.20","","0.08%"
"01/01/2025","8,642.50","8,643.50","8,663.00","8,636.70","","0.47%"
"12/01/2024","8,602.00","8,619.00","8,653.00","8,584.00","","0.57%"
"11/01/2024","8,553.00","8,624.00","8,633.00","8,595.90","","-0.12%"
"10/01/2024","8,563.00","8,635.50","8,644.50","8,591.50","","-0.27%"
"09/01/2024","8,586.00","8,634.00","8,653.00","8,614.22","","0.03%"
"08/01/2024","8,583.00","8,618.00","8,641.50","8,585.50","","-0.41%"
"07/01/2024","8,618.00","8,580.00","8,645.00","8,567.50","","0.12%"
"06/01/2024","8,607.50","8,602.50","8,613.44","8,477.00","","0.06%"
"05/01/2024","8,602.50","8,593.50","8,607.43","8,539.50","","0.10%"
"04/01/2024","8,593.50","8,595.00","8,601.41","8,539.45","","-0.02%"
"03/01/2024","8,595.00","8,594.00","8,610.00","8,537.38","","0.01%"
"02/01/2024","8,594.00","8,598.00","8,660.00","8,542.00","","-0.05%"
"01/01/2024","8,598.00","8,598.00","8,665.00","8,538.50","","0.00%"
"12/01/2023","8,598.00","8,593.00","8,665.00","8,538.00","","0.06%"
"11/01/2023","8,593.00","8,592.00","8,655.00","8,515.75","","0.01%"
"10/01/2023","8,592.00","8,527.00","8,679.00","8,521.38","","0.07%"
"09/01/2023","8,586.00","8,587.00","8,655.00","8,512.00","","-0.01%"
"08/01/2023","8,587.00","8,603.00","8,665.00","8,439.00","","-0.19%"
"07/01/2023","8,603.00","8,540.00","8,655.00","8,540.00","","0.06%"
"06/01/2023","8,598.00","8,596.00","8,677.00","8,525.00","","0.02%"
"05/01/2023","8,596.00","8,548.00","8,661.00","8,459.00","","-0.01%"
"04/01/2023","8,597.00","8,531.00","8,740.00","8,517.50","","0.05%"
"03/01/2023","8,593.00","8,607.50","8,825.00","8,529.00","","-0.17%"
"02/01/2023","8,607.50","8,610.00","8,825.00","8,553.04","","-0.03%"
"01/01/2023","8,610.00","8,604.00","8,914.63","8,558.50","","-0.11%"
"12/01/2022","8,619.50","8,625.00","8,828.59","8,567.00","","0.64%"
"11/01/2022","8,565.00","8,617.50","8,808.50","8,542.62","","-0.61%"
"10/01/2022","8,617.50","8,644.00","8,801.79","8,565.00","","0.17%"
"09/01/2022","8,603.00","8,633.50","8,841.68","8,583.50","","0.19%"
"08/01/2022","8,587.00","8,646.00","8,877.50","8,577.50","","-0.22%"
"07/01/2022","8,606.00","8,687.50","8,850.00","8,646.00","","-0.45%"
"06/01/2022","8,645.00","8,846.00","8,883.41","8,653.50","","-2.27%"
"05/01/2022","8,846.00","8,759.50","8,944.00","8,627.50","","-0.32%"
"04/01/2022","8,874.00","8,933.00","9,005.25","8,711.50","","-0.66%"
"03/01/2022","8,933.00","8,976.00","9,074.53","8,795.00","","-0.48%"
"02/01/2022","8,976.00","9,005.00","9,120.37","8,919.25","","0.23%"
"01/01/2022","8,955.00","9,243.00","9,341.02","8,976.75","","-2.59%"
"12/01/2021","9,193.00","9,512.00","9,575.97","9,219.38","","-3.35%"
"11/01/2021","9,512.00","9,600.00","9,643.21","9,300.00","","-1.17%"
"10/01/2021","9,625.00","9,758.50","9,789.50","9,587.50","","-0.81%"
"09/01/2021","9,704.00","9,790.00","9,832.50","9,731.00","","-0.37%"
"08/01/2021","9,740.00","9,750.00","9,841.50","9,710.83","","0.40%"
"07/01/2021","9,701.00","9,820.00","9,875.50","9,711.05","","-0.70%"
"06/01/2021","9,769.00","9,765.00","9,892.75","9,732.50","","0.56%"
"05/01/2021","9,715.00","9,910.00","9,943.50","9,750.00","","-1.49%"
"04/01/2021","9,862.00","10,013.00","10,115.00","9,750.00","","-0.95%"
"03/01/2021","9,957.00","10,148.00","10,161.25","9,979.59","","-1.40%"
"02/01/2021","10,098.00","10,110.00","10,302.30","10,055.00","","-1.77%"
"01/01/2021","10,280.00","9,995.00","10,287.15","9,972.50","","2.90%"
"12/01/2020","9,990.00","9,843.50","10,043.50","9,810.00","","1.56%"
"11/01/2020","9,837.00","9,781.00","10,018.50","9,750.00","","0.89%"
"10/01/2020","9,750.00","9,793.50","9,819.49","9,745.00","","0.13%"
"09/01/2020","9,737.00","9,663.50","9,802.49","9,624.69","","1.42%"
"08/01/2020","9,601.00","9,610.00","9,680.97","9,529.50","","0.11%"
"07/01/2020","9,590.00","9,646.50","9,659.97","9,487.50","","-0.03%"
"06/01/2020","9,593.00","9,455.00","9,672.97","9,427.50","","0.20%"
"05/01/2020","9,574.00","9,553.50","9,610.00","9,359.81","","0.21%"
"04/01/2020","9,553.50","9,543.50","9,601.89","9,367.25","","0.10%"
"03/01/2020","9,543.50","9,414.00","9,619.00","9,374.00","","1.53%"
"02/01/2020","9,400.00","9,448.00","9,563.26","9,370.00","","0.48%"
"01/01/2020","9,354.72","9,550.00","9,575.70","9,321.08","","-2.04%"
"12/01/2019","9,550.00","9,370.00","9,589.44","9,335.00","","0.17%"
"11/01/2019","9,534.00","9,183.00","9,564.99","8,999.08","","4.39%"
"10/01/2019","9,133.00","9,263.50","9,335.55","9,152.85","","-1.10%"
"09/01/2019","9,235.00","9,217.00","9,305.92","9,117.50","","0.73%"
"08/01/2019","9,168.00","9,186.50","9,286.88","9,107.00","","-0.11%"
"07/01/2019","9,178.00","9,201.00","9,276.12","9,085.00","","0.26%"
"06/01/2019","9,154.00","9,175.00","9,267.58","9,080.50","","0.25%"
"05/01/2019","9,131.00","9,135.00","9,262.22","9,115.20","","0.01%"
"04/01/2019","9,130.00","9,155.00","9,249.85","9,025.00","","0.27%"
"03/01/2019","9,105.00","9,122.00","9,241.08","9,077.97","","0.01%"
"02/01/2019","9,104.00","9,118.00","9,245.00","9,025.00","","0.09%"
"01/01/2019","9,096.00","9,110.00","9,246.63","9,023.00","","0.18%"
"12/01/2018","9,080.00","9,094.50","9,265.32","9,035.00","","0.34%"
"11/01/2018","9,049.00","9,057.50","9,196.46","9,000.00","","0.27%"
"10/01/2018","9,025.00","9,048.00","9,217.50","8,990.00","","0.22%"
"09/01/2018","9,005.00","9,045.50","9,164.73","8,999.00","","0.04%"
"08/01/2018","9,001.00","9,042.00","9,132.33","8,940.00","","-0.10%"
"07/01/2018","9,010.00","9,026.50","9,133.75","8,970.00","","0.08%"
"06/01/2018","9,003.00","9,023.00","9,091.20","8,990.29","","0.08%"
"05/01/2018","8,996.00","9,026.00","9,102.74","8,970.17","","0.03%"
"04/01/2018","8,993.00","9,049.00","9,058.23","8,974.08","","-0.02%"
"03/01/2018","8,995.00","9,025.00","9,083.00","8,950.00","","-0.06%"
"02/01/2018","9,000.00","9,027.50","9,093.00","8,957.47","","-0.02%"
"01/01/2018","9,002.00","9,052.00","9,078.46","8,944.55","","0.00%"
"12/01/2017","9,002.00","9,048.96","9,079.00","8,967.05","","0.00%"
"11/01/2017","9,002.00","9,002.50","9,061.41","8,947.00","","0.02%"
"10/01/2017","9,000.00","8,947.00","9,055.00","8,903.50","","0.05%"
"09/01/2017","8,995.75","8,835.00","9,020.24","8,835.00","","-0.01%"
"08/01/2017","8,996.92","8,950.00","9,010.68","8,835.00","","-0.04%"
"07/01/2017","9,000.50","9,084.00","9,131.36","8,918.00","","0.18%"
"06/01/2017","8,984.00","9,100.93","9,148.99","8,917.79","","-0.62%"
"05/01/2017","9,040.00","9,250.00","9,326.67","8,993.00","","-0.98%"
"04/01/2017","9,129.37","9,245.00","9,379.72","9,044.00","","-0.71%"
"03/01/2017","9,195.00","9,170.00","9,432.11","9,096.50","","0.27%"
"02/01/2017","9,170.00","9,365.40","9,475.03","9,145.00","","-1.43%"
"01/01/2017","9,303.00","9,418.00","9,523.53","9,170.00","","-0.69%"
"12/01/2016","9,368.00","9,245.00","9,470.53","8,915.00","","1.75%"
"11/01/2016","9,206.80","8,938.00","9,386.50","8,869.00","","3.01%"
"10/01/2016","8,938.00","9,102.00","9,327.50","8,913.00","","-1.26%"
"09/01/2016","9,052.00","9,088.00","9,332.47","8,984.00","","-0.40%"
"08/01/2016","9,088.00","9,085.00","9,307.93","8,925.00","","0.03%"
"07/01/2016","9,085.00","8,985.00","9,217.47","8,894.50","","1.11%"
"06/01/2016","8,985.00","7,360.00","9,102.36","7,250.00","","22.08%"
"05/01/2016","7,360.00","7,555.00","7,613.65","7,293.20","","-2.69%"
"04/01/2016","7,563.31","7,588.00","7,655.00","7,512.50","","-0.33%"
