"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","39.960","39.900","40.155","39.629","","0.15%"
"03/01/2026","39.900","40.050","40.203","39.329","","-0.37%"
"02/01/2026","40.050","39.940","40.195","39.178","","0.28%"
"01/01/2026","39.940","39.840","40.154","39.299","","0.25%"
"12/01/2025","39.840","39.900","40.090","39.489","","-0.15%"
"11/01/2025","39.900","40.070","40.153","39.328","","-0.42%"
"10/01/2025","40.070","40.010","40.380","39.600","","0.15%"
"09/01/2025","40.010","40.070","40.304","39.540","","-0.15%"
"08/01/2025","40.070","40.050","40.230","39.440","","0.05%"
"07/01/2025","40.050","39.750","40.075","39.582","","0.48%"
"06/01/2025","39.860","39.760","39.963","39.413","","0.25%"
"05/01/2025","39.760","39.820","39.940","39.459","","-0.15%"
"04/01/2025","39.820","39.970","40.065","39.064","","-0.38%"
"03/01/2025","39.970","39.950","40.065","39.320","","0.05%"
"02/01/2025","39.950","40.060","40.213","39.709","","-0.27%"
"01/01/2025","40.060","39.810","40.160","39.540","","0.73%"
"12/01/2024","39.770","39.890","40.125","39.440","","0.15%"
"11/01/2024","39.710","39.940","40.125","39.084","","0.05%"
"10/01/2024","39.690","39.740","40.009","39.432","","0.33%"
"09/01/2024","39.560","39.780","39.807","39.359","","-0.10%"
"08/01/2024","39.600","39.570","39.720","39.421","","-0.05%"
"07/01/2024","39.620","39.720","39.890","39.159","","0.20%"
"06/01/2024","39.540","39.470","39.756","38.988","","0.64%"
"05/01/2024","39.290","39.454","40.195","38.357","","-0.27%"
"04/01/2024","39.395","39.800","40.020","39.058","","-0.57%"
"03/01/2024","39.620","39.910","40.220","39.058","","-0.28%"
"02/01/2024","39.730","40.060","40.910","38.460","","-0.67%"
"01/01/2024","40.000","39.560","41.210","39.008","","1.57%"
"12/01/2023","39.380","39.600","41.062","37.907","","-0.10%"
"11/01/2023","39.420","38.115","41.062","38.055","","2.28%"
"10/01/2023","38.543","38.040","39.782","37.879","","1.80%"
"09/01/2023","37.860","38.025","38.850","37.825","","-0.75%"
"08/01/2023","38.146","38.640","39.030","37.640","","-1.28%"
"07/01/2023","38.640","34.560","38.930","34.450","","12.39%"
"06/01/2023","34.380","34.410","35.015","34.335","","0.44%"
"05/01/2023","34.230","34.320","34.480","34.250","","0.26%"
"04/01/2023","34.140","34.230","34.570","34.137","","0.26%"
"03/01/2023","34.050","36.330","36.360","34.150","","-5.81%"
"02/01/2023","36.150","36.360","36.423","35.790","","-0.08%"
"01/01/2023","36.180","36.730","36.830","35.800","","-1.01%"
"12/01/2022","36.550","38.020","38.085","36.730","","-3.41%"
"11/01/2022","37.840","37.960","38.095","37.885","","0.16%"
"10/01/2022","37.780","37.880","38.065","37.810","","0.21%"
"09/01/2022","37.700","37.680","37.920","37.615","","0.53%"
"08/01/2022","37.500","37.670","37.785","37.525","","0.03%"
"07/01/2022","37.490","36.470","37.675","36.430","","3.31%"
"06/01/2022","36.290","36.480","36.610","36.200","","-0.03%"
"05/01/2022","36.300","36.450","36.550","36.400","","0.28%"
"04/01/2022","36.200","36.390","36.510","36.335","","-0.03%"
"03/01/2022","36.210","36.400","36.480","36.335","","0.00%"
"02/01/2022","36.210","36.320","36.470","36.000","","0.19%"
"01/01/2022","36.140","36.310","36.435","36.275","","0.03%"
"12/01/2021","36.130","36.260","36.470","36.170","","0.14%"
