"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","1,378.550","1,385.540","1,387.070","1,375.960","","-0.57%"
"03/01/2026","1,386.460","1,359.500","1,418.920","1,347.870","","1.80%"
"02/01/2026","1,361.880","1,392.000","1,401.830","1,333.795","","-1.77%"
"01/01/2026","1,386.455","1,444.575","1,448.750","1,375.645","","-4.02%"
"12/01/2025","1,444.570","1,443.000","1,464.645","1,439.745","","-0.19%"
"11/01/2025","1,447.335","1,446.810","1,459.840","1,425.100","","0.04%"
"10/01/2025","1,446.810","1,483.240","1,503.750","1,429.150","","-2.45%"
"09/01/2025","1,483.175","1,532.570","1,539.760","1,475.000","","-3.50%"
"08/01/2025","1,536.950","1,530.890","1,539.625","1,509.000","","0.40%"
"07/01/2025","1,530.895","1,545.000","1,545.000","1,522.545","","-0.36%"
"06/01/2025","1,536.375","1,587.000","1,590.500","1,528.675","","-3.25%"
"05/01/2025","1,587.950","1,602.065","1,613.895","1,579.540","","-0.90%"
"04/01/2025","1,602.390","1,537.730","1,644.010","1,526.500","","4.20%"
"03/01/2025","1,537.770","1,499.070","1,560.000","1,491.335","","2.31%"
"02/01/2025","1,503.000","1,481.000","1,552.500","1,442.500","","1.49%"
"01/01/2025","1,481.000","1,538.570","1,575.500","1,442.500","","-3.46%"
"12/01/2024","1,534.000","1,682.890","1,707.500","1,485.000","","-8.19%"
"11/01/2024","1,670.890","1,643.260","1,717.500","1,620.000","","3.25%"
"10/01/2024","1,618.260","1,668.970","1,693.550","1,590.690","","-1.56%"
"09/01/2024","1,643.970","1,598.640","1,685.000","1,497.500","","3.39%"
"08/01/2024","1,590.000","1,620.000","1,620.000","1,480.000","","-4.22%"
"07/01/2024","1,660.000","1,513.730","1,670.000","1,305.000","","8.85%"
"06/01/2024","1,525.000","1,485.000","1,541.365","1,425.900","","2.76%"
"05/01/2024","1,484.000","1,390.000","1,549.925","1,197.050","","6.84%"
"04/01/2024","1,389.000","1,304.340","1,450.000","1,002.000","","6.60%"
"03/01/2024","1,303.000","1,617.550","1,687.115","1,275.500","","-19.40%"
"02/01/2024","1,616.550","1,192.940","1,680.750","950.500","","35.62%"
"01/01/2024","1,191.940","882.030","1,250.750","849.500","","35.29%"
"12/01/2023","881.030","790.500","906.695","788.500","","11.52%"
"11/01/2023","790.000","787.500","846.470","786.045","","0.64%"
"10/01/2023","785.000","769.550","884.500","747.100","","2.21%"
"09/01/2023","768.000","773.500","798.500","738.040","","-0.65%"
"08/01/2023","773.000","760.400","792.500","740.500","","1.86%"
"07/01/2023","758.900","760.270","799.500","756.500","","0.02%"
"06/01/2023","758.770","461.100","775.500","460.500","","64.74%"
"05/01/2023","460.600","460.470","465.500","460.300","","0.14%"
"04/01/2023","459.970","460.340","460.540","459.970","","0.03%"
"03/01/2023","459.840","460.470","460.550","460.290","","-0.03%"
"02/01/2023","459.970","460.520","460.600","459.490","","-0.01%"
"01/01/2023","460.020","448.080","460.520","445.500","","2.78%"
"12/01/2022","447.580","443.940","455.500","443.500","","0.93%"
"11/01/2022","443.440","438.350","443.940","438.350","","1.28%"
"10/01/2022","437.850","432.370","441.500","414.380","","1.38%"
"09/01/2022","431.870","421.880","435.500","419.500","","2.49%"
"08/01/2022","421.380","415.870","428.500","415.850","","1.45%"
"07/01/2022","415.370","415.270","425.500","414.700","","0.14%"
"06/01/2022","414.770","415.200","419.500","414.290","","0.02%"
"05/01/2022","414.700","415.260","415.500","414.300","","-0.01%"
"04/01/2022","414.760","415.750","415.750","414.500","","-0.12%"
"03/01/2022","415.250","416.020","416.090","411.000","","-0.06%"
"02/01/2022","415.520","415.830","417.050","414.760","","0.05%"
"01/01/2022","415.330","411.950","415.830","411.930","","0.88%"
"12/01/2021","411.700","409.890","413.500","409.890","","0.50%"
"11/01/2021","409.640","410.310","414.230","409.500","","-0.10%"
"10/01/2021","410.060","410.800","413.500","410.100","","0.06%"
"09/01/2021","409.800","411.500","413.500","409.260","","-0.29%"
"08/01/2021","411.000","411.500","412.000","409.500","","0.00%"
"07/01/2021","411.000","411.500","411.500","411.250","","0.00%"
"06/01/2021","411.000","413.000","413.375","408.500","","0.12%"
"05/01/2021","410.500","381.050","413.450","380.750","","7.87%"
"04/01/2021","380.550","381.050","381.275","380.750","","0.00%"
"03/01/2021","380.550","381.080","381.290","380.750","","-0.01%"
"02/01/2021","380.580","381.200","381.350","380.750","","-0.03%"
"01/01/2021","380.700","381.200","381.350","380.250","","0.00%"
"12/01/2020","380.700","381.200","381.350","380.250","","0.00%"
"11/01/2020","380.700","381.200","382.345","380.250","","0.00%"
"10/01/2020","380.700","381.100","381.350","380.250","","0.03%"
"09/01/2020","380.600","381.200","381.350","380.250","","-0.03%"
"08/01/2020","380.700","381.000","381.500","379.500","","0.05%"
"07/01/2020","380.500","360.500","385.500","360.500","","5.69%"
