"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","2,600.00","2,600.00","2,617.50","2,575.00","","0.19%"
"03/01/2026","2,595.00","2,555.00","2,620.00","2,532.50","","1.17%"
"02/01/2026","2,565.00","2,550.00","2,612.50","2,537.50","","-0.39%"
"01/01/2026","2,575.00","2,460.00","2,590.00","2,460.00","","4.67%"
"12/01/2025","2,460.00","2,455.00","2,507.50","2,422.50","","-0.20%"
"11/01/2025","2,465.00","2,460.00","2,490.00","2,415.00","","0.20%"
"10/01/2025","2,460.00","2,455.00","2,509.00","2,425.00","","0.20%"
"09/01/2025","2,455.00","2,495.00","2,515.00","2,435.00","","-2.00%"
"08/01/2025","2,505.00","2,555.00","2,625.00","2,455.00","","-2.53%"
"07/01/2025","2,570.00","2,620.00","2,667.50","2,552.50","","-1.91%"
"06/01/2025","2,620.00","2,700.00","2,703.00","2,570.50","","-2.78%"
"05/01/2025","2,695.00","2,670.00","2,712.00","2,650.00","","0.19%"
"04/01/2025","2,690.00","2,640.00","2,704.00","2,635.00","","1.89%"
"03/01/2025","2,640.00","2,594.00","2,682.00","2,589.50","","1.77%"
"02/01/2025","2,594.00","2,535.00","2,630.00","2,512.50","","1.73%"
"01/01/2025","2,550.00","2,425.00","2,560.50","2,417.50","","6.25%"
"12/01/2024","2,400.00","2,650.00","2,650.00","2,312.50","","-8.75%"
"11/01/2024","2,630.00","2,700.00","2,725.00","2,640.00","","-2.59%"
"10/01/2024","2,700.00","2,720.00","2,732.50","2,705.00","","-0.92%"
"09/01/2024","2,725.00","2,720.00","2,731.00","2,712.50","","0.37%"
"08/01/2024","2,715.00","2,690.00","2,715.00","2,690.00","","0.74%"
"07/01/2024","2,695.00","2,635.00","2,705.50","2,635.00","","2.47%"
"06/01/2024","2,630.00","2,605.00","2,690.00","2,595.00","","1.15%"
"05/01/2024","2,600.00","2,585.00","2,615.00","2,585.00","","0.78%"
"04/01/2024","2,580.00","2,580.00","2,601.00","2,552.00","","0.78%"
"03/01/2024","2,560.00","2,550.00","2,580.00","2,545.00","","0.59%"
"02/01/2024","2,545.00","2,545.00","2,584.00","2,515.00","","0.20%"
"01/01/2024","2,540.00","2,515.00","2,572.00","2,502.50","","1.40%"
"12/01/2023","2,505.00","2,505.00","2,520.00","2,497.00","","0.20%"
"11/01/2023","2,500.00","2,500.00","2,517.00","2,497.00","","0.20%"
"10/01/2023","2,495.00","2,507.50","2,516.00","2,497.00","","-0.40%"
"09/01/2023","2,505.00","2,505.00","2,515.00","2,425.00","","0.20%"
"08/01/2023","2,500.00","2,460.00","2,511.00","2,450.00","","2.04%"
"07/01/2023","2,450.00","2,423.00","2,465.00","2,409.50","","1.66%"
"06/01/2023","2,410.00","2,365.00","2,422.00","2,346.00","","2.12%"
"05/01/2023","2,360.00","2,350.00","2,365.50","2,332.00","","0.64%"
"04/01/2023","2,345.00","2,332.00","2,356.00","2,332.00","","0.43%"
"03/01/2023","2,335.00","2,332.00","2,345.00","2,332.00","","0.00%"
"02/01/2023","2,335.00","2,332.00","2,341.50","2,332.00","","0.04%"
"01/01/2023","2,334.00","2,332.00","2,339.50","2,332.00","","0.30%"
"12/01/2022","2,327.00","2,332.00","2,335.00","2,328.00","","0.00%"
"11/01/2022","2,327.00","2,332.00","2,335.00","2,330.00","","0.00%"
"10/01/2022","2,327.00","2,332.00","2,335.00","2,325.00","","0.09%"
"09/01/2022","2,325.00","2,331.50","2,334.00","2,326.00","","0.00%"
"08/01/2022","2,325.00","2,332.00","2,340.00","2,322.50","","0.00%"
"07/01/2022","2,325.00","2,332.00","2,335.00","2,322.50","","-0.09%"
"06/01/2022","2,327.00","2,328.00","2,336.50","2,319.00","","0.17%"
