"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","16.8310","16.9460","17.0558","16.6612","","-0.66%"
"03/01/2026","16.9435","15.9365","17.2517","15.9365","","6.32%"
"02/01/2026","15.9365","16.1324","16.4338","15.8045","","-1.25%"
"01/01/2026","16.1384","16.5113","16.5952","15.6417","","-2.59%"
"12/01/2025","16.5680","17.1147","17.1658","16.5341","","-3.19%"
"11/01/2025","17.1146","17.3093","17.5814","16.9465","","-1.24%"
"10/01/2025","17.3293","17.2678","17.5140","17.0617","","0.36%"
"09/01/2025","17.2668","17.6758","17.8246","17.2106","","-2.20%"
"08/01/2025","17.6557","18.2144","18.3681","17.4147","","-3.07%"
"07/01/2025","18.2144","17.7375","18.2373","17.4794","","2.62%"
"06/01/2025","17.7500","17.9737","18.1575","17.5761","","-1.37%"
"05/01/2025","17.9972","18.6033","18.7157","17.7551","","-3.27%"
"04/01/2025","18.6057","18.3137","19.9350","18.2663","","1.60%"
"03/01/2025","18.3118","18.6899","18.7237","17.9949","","-2.03%"
"02/01/2025","18.6914","18.7015","19.0538","18.2899","","0.12%"
"01/01/2025","18.6696","18.8703","19.2393","18.2953","","-0.96%"
"12/01/2024","18.8506","18.0600","18.9214","17.6133","","4.43%"
"11/01/2024","18.0503","17.6200","18.4040","17.2667","","2.80%"
"10/01/2024","17.5589","17.2848","17.8749","17.2149","","1.75%"
"09/01/2024","17.2574","17.8461","18.0265","17.0296","","-3.17%"
"08/01/2024","17.8217","18.1925","18.6835","17.5931","","-2.07%"
"07/01/2024","18.1976","18.1245","18.6675","17.9226","","0.07%"
"06/01/2024","18.1850","18.8154","19.0156","17.8671","","-3.31%"
"05/01/2024","18.8079","18.7834","18.9063","18.0263","","0.28%"
"04/01/2024","18.7556","18.9342","19.3908","18.4093","","-0.88%"
"03/01/2024","18.9214","19.2126","19.2490","18.5028","","-1.48%"
"02/01/2024","19.2061","18.6749","19.3953","18.5507","","2.85%"
"01/01/2024","18.6739","18.3520","19.2364","18.2600","","2.14%"
