"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","25.374","25.374","25.983","25.013","","0.00%"
"03/01/2026","25.374","25.759","27.263","24.653","","-1.55%"
"02/01/2026","25.774","25.619","26.444","25.089","","0.75%"
"01/01/2026","25.581","25.981","26.655","25.276","","-1.54%"
"12/01/2025","25.981","26.150","27.387","25.687","","-0.80%"
"11/01/2025","26.190","26.914","27.447","25.855","","-0.97%"
"10/01/2025","26.447","26.257","27.325","26.072","","-0.74%"
"09/01/2025","26.644","26.741","27.673","26.023","","-0.41%"
"08/01/2025","26.755","26.958","27.209","26.207","","-0.36%"
"07/01/2025","26.853","26.949","27.329","26.384","","-0.36%"
"06/01/2025","26.951","27.240","27.370","26.301","","0.15%"
"05/01/2025","26.910","26.816","27.357","26.043","","0.35%"
"04/01/2025","26.816","27.167","27.495","26.403","","0.19%"
"03/01/2025","26.766","26.562","27.467","26.086","","0.77%"
"02/01/2025","26.562","26.761","27.273","26.044","","-0.74%"
"01/01/2025","26.761","26.314","27.025","25.059","","6.94%"
"12/01/2024","25.024","27.440","27.440","25.191","","0.60%"
"11/01/2024","24.875","28.683","29.042","24.804","","-8.70%"
"10/01/2024","27.246","25.001","29.068","24.816","","12.30%"
"09/01/2024","24.261","14.021","25.375","13.579","","72.10%"
"08/01/2024","14.097","13.446","14.097","13.386","","2.14%"
"07/01/2024","13.802","13.723","14.367","13.680","","0.72%"
"06/01/2024","13.703","13.362","14.320","13.362","","2.89%"
"05/01/2024","13.318","13.446","14.081","13.255","","-3.01%"
"04/01/2024","13.732","8.975","13.929","8.644","","55.57%"
"03/01/2024","8.827","6.177","8.964","6.163","","40.85%"
"02/01/2024","6.267","4.100","6.286","4.090","","54.25%"
"01/01/2024","4.063","2.482","4.185","2.482","","66.11%"
"12/01/2023","2.446","2.272","2.446","2.230","","5.43%"
"11/01/2023","2.320","2.344","2.430","2.256","","1.62%"
"10/01/2023","2.283","2.190","2.392","2.126","","1.78%"
"09/01/2023","2.243","1.935","2.297","1.838","","21.51%"
"08/01/2023","1.846","1.878","2.041","1.799","","1.60%"
"07/01/2023","1.817","2.343","2.450","1.812","","-20.97%"
"06/01/2023","2.299","1.066","2.871","0.849","","124.07%"
"05/01/2023","1.026","0.443","1.026","0.434","","148.43%"
"04/01/2023","0.413","0.376","0.428","0.373","","11.62%"
"03/01/2023","0.370","0.368","0.379","0.358","","4.23%"
"02/01/2023","0.355","0.320","0.369","0.320","","13.78%"
"01/01/2023","0.312","0.279","0.323","0.267","","15.99%"
"12/01/2022","0.269","0.267","0.279","0.257","","3.07%"
"11/01/2022","0.261","0.248","0.261","0.242","","0.00%"
"10/01/2022","0.261","0.255","0.264","0.252","","4.82%"
"09/01/2022","0.249","0.230","0.249","0.210","","19.14%"
"08/01/2022","0.209","0.184","0.209","0.184","","33.12%"
"07/01/2022","0.157","0.147","0.157","0.147","","6.80%"
"06/01/2022","0.147","0.117","0.147","0.117","","26.72%"
"05/01/2022","0.116","0.065","0.116","0.065","","81.25%"
"04/01/2022","0.064","0.057","0.064","0.057","","16.36%"
"03/01/2022","0.055","0.051","0.055","0.051","","10.00%"
"02/01/2022","0.050","0.046","0.050","0.046","","8.70%"
"01/01/2022","0.046","0.045","0.046","0.045","","6.98%"
"12/01/2021","0.043","0.042","0.043","0.042","","2.38%"
"11/01/2021","0.042","0.039","0.042","0.039","","7.69%"
"10/01/2021","0.039","0.035","0.039","0.035","","11.43%"
"09/01/2021","0.035","0.034","0.035","0.034","","0.00%"
"08/01/2021","0.035","0.034","0.035","0.034","","2.94%"
"07/01/2021","0.034","0.034","0.034","0.034","","0.00%"
"06/01/2021","0.034","0.034","0.034","0.034","","0.00%"
"05/01/2021","0.034","0.034","0.034","0.034","","0.00%"
"04/01/2021","0.034","0.034","0.035","0.034","","0.00%"
"03/01/2021","0.034","0.034","0.034","0.033","","0.00%"
"02/01/2021","0.034","0.033","0.034","0.033","","0.00%"
"01/01/2021","0.034","0.032","0.034","0.032","","3.03%"
"12/01/2020","0.033","0.033","0.034","0.033","","0.00%"
"11/01/2020","0.033","0.032","0.033","0.032","","0.00%"
