"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","21.4369","21.4221","21.6929","21.1784","","0.06%"
"03/01/2026","21.4230","20.9497","21.8750","20.9439","","2.26%"
"02/01/2026","20.9497","20.8861","21.3762","20.7304","","0.31%"
"01/01/2026","20.8852","21.0710","21.5091","20.5054","","-0.88%"
"12/01/2025","21.0701","21.3305","21.5050","20.9603","","-1.22%"
"11/01/2025","21.3305","21.4607","21.6801","21.1835","","-0.61%"
"10/01/2025","21.4607","21.0917","21.5806","20.8770","","1.74%"
"09/01/2025","21.0945","21.1792","21.4269","20.7730","","-0.40%"
"08/01/2025","21.1782","21.6687","21.7239","20.9567","","-2.32%"
"07/01/2025","21.6811","20.9968","21.9418","20.9106","","3.26%"
"06/01/2025","20.9959","21.8100","21.9477","20.9951","","-3.73%"
"05/01/2025","21.8100","21.8475","22.4189","21.6206","","-0.17%"
"04/01/2025","21.8466","22.8849","23.1636","21.3869","","-4.54%"
"03/01/2025","22.8849","23.8531","23.8531","22.5859","","-4.07%"
"02/01/2025","23.8554","23.8819","24.2445","23.4953","","-0.13%"
"01/01/2025","23.8854","23.9061","24.3822","23.3661","","0.94%"
"12/01/2024","23.6623","23.4009","23.9269","23.2504","","2.17%"
"11/01/2024","23.1590","22.7409","23.9449","22.2843","","2.88%"
"10/01/2024","22.5101","22.2392","22.9965","22.0588","","2.32%"
"09/01/2024","22.0007","22.4032","22.6833","22.0288","","-1.80%"
"08/01/2024","22.4032","22.8626","23.0147","22.0508","","-2.00%"
"07/01/2024","22.8605","23.0490","23.2500","22.5403","","-1.04%"
"06/01/2024","23.1017","22.8069","23.2045","22.6721","","1.27%"
"05/01/2024","22.8121","23.1991","23.4098","22.6752","","-1.69%"
"04/01/2024","23.2034","22.9336","23.5112","22.5328","","1.20%"
"03/01/2024","22.9294","22.9124","23.0252","22.5322","","0.09%"
"02/01/2024","22.9081","22.8775","23.2528","22.5328","","0.13%"
"01/01/2024","22.8785","22.4245","22.9251","22.2254","","2.02%"
"12/01/2023","22.4245","22.5051","23.0554","22.2213","","-0.36%"
"11/01/2023","22.5051","23.4220","23.5900","22.4673","","-3.83%"
"10/01/2023","23.4020","23.4286","23.7213","23.1115","","-0.02%"
"09/01/2023","23.4065","22.8321","23.5961","22.7502","","2.54%"
